epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6764,1.05194,1.9935,1.45654,0.46783,0.41044,0.3636,0.19741,1.38217,2.83558,1.74886,0.000474662,0.000474662,0.000474662
2,163.114,1.12643,1.6531,1.52683,0.47368,0.37215,0.30533,0.15885,1.56188,3.25448,1.86534,0.000932166,0.000932166,0.000932166
3,242.323,1.10697,1.52493,1.52746,0.60658,0.41825,0.496,0.28177,1.37349,1.77247,1.67328,0.00137081,0.00137081,0.00137081
4,320.727,1.08841,1.48789,1.514,0.65537,0.47508,0.48733,0.32054,1.1704,2.57958,1.5358,0.00134412,0.00134412,0.00134412
5,398.906,1.05291,1.3821,1.48476,0.69107,0.45877,0.54351,0.36908,1.146,1.59937,1.50495,0.00131582,0.00131582,0.00131582
6,476.806,1.00581,1.29815,1.44726,0.7812,0.51751,0.63727,0.44859,1.05272,1.29833,1.43333,0.00128753,0.00128753,0.00128753
7,554.909,0.98876,1.26767,1.43745,0.76677,0.65502,0.72447,0.48791,1.09294,1.34699,1.45524,0.00125923,0.00125923,0.00125923
8,632.633,0.97644,1.21147,1.42531,0.73961,0.52031,0.62207,0.41837,1.12949,1.99387,1.45036,0.00123094,0.00123094,0.00123094
9,708.849,0.97341,1.20071,1.41354,0.87316,0.58647,0.73751,0.51753,1.08961,1.31171,1.43111,0.00120265,0.00120265,0.00120265
10,789.016,0.95731,1.18894,1.41459,0.77728,0.61491,0.69703,0.49607,1.06186,1.25101,1.40318,0.00117435,0.00117435,0.00117435
11,869.378,0.93171,1.12418,1.38537,0.77946,0.63252,0.70221,0.48713,1.03296,1.20855,1.3719,0.00114606,0.00114606,0.00114606
12,948.581,0.91069,1.08518,1.37648,0.74305,0.70339,0.71227,0.51814,0.99832,1.14459,1.33306,0.00111776,0.00111776,0.00111776
13,1027.69,0.9157,1.0649,1.36851,0.89279,0.64561,0.74706,0.54289,0.99995,1.34505,1.34375,0.00108947,0.00108947,0.00108947
14,1107.75,0.91082,1.07732,1.37056,0.8179,0.6908,0.77655,0.5354,1.06817,1.05228,1.39538,0.00106118,0.00106118,0.00106118
15,1189.29,0.90339,1.0258,1.35339,0.8117,0.71496,0.76207,0.54903,0.99604,1.04188,1.31521,0.00103288,0.00103288,0.00103288
16,1269.91,0.88045,0.99916,1.34734,0.80209,0.66791,0.74527,0.5252,1.03674,1.45323,1.36827,0.00100459,0.00100459,0.00100459
17,1351.01,0.87545,1.00553,1.33481,0.82335,0.70715,0.79232,0.57508,0.98703,1.03523,1.30872,0.000976293,0.000976293,0.000976293
18,1432.12,0.85034,0.95917,1.32024,0.8568,0.69503,0.78486,0.56461,0.99315,0.97902,1.34241,0.000947999,0.000947999,0.000947999
19,1514.13,0.86437,0.96492,1.33352,0.83095,0.70914,0.80791,0.57298,0.98849,0.9444,1.31326,0.000919704,0.000919704,0.000919704
20,1595.36,0.85147,0.93295,1.3183,0.84125,0.72697,0.79604,0.56973,0.97454,1.035,1.30093,0.00089141,0.00089141,0.00089141
21,1676.24,0.86799,0.94961,1.32328,0.80097,0.70011,0.76503,0.56824,0.95576,0.92132,1.29135,0.000863116,0.000863116,0.000863116
22,1757.64,0.83248,0.89893,1.30302,0.86295,0.72029,0.80791,0.59332,0.95295,0.96865,1.27104,0.000834822,0.000834822,0.000834822
23,1839.55,0.83615,0.90733,1.30417,0.86356,0.71805,0.79452,0.60266,0.95009,0.96404,1.27488,0.000806528,0.000806528,0.000806528
24,1920.01,0.82436,0.88492,1.28881,0.78142,0.71687,0.77771,0.57019,0.96757,0.95236,1.2882,0.000778233,0.000778233,0.000778233
25,1999.86,0.80504,0.85861,1.27974,0.8181,0.73027,0.80148,0.60615,0.92674,0.93516,1.27179,0.000749939,0.000749939,0.000749939
26,2080.3,0.82909,0.86976,1.29262,0.82263,0.74,0.81406,0.62159,0.95156,0.89828,1.27286,0.000721645,0.000721645,0.000721645
27,2160.11,0.79956,0.85018,1.27399,0.83585,0.73522,0.81826,0.61695,0.95123,0.86449,1.28152,0.000693351,0.000693351,0.000693351
28,2240.9,0.80505,0.83744,1.27285,0.78479,0.77227,0.81558,0.62232,0.94896,0.89778,1.26608,0.000665057,0.000665057,0.000665057
29,2321.84,0.78557,0.82042,1.264,0.85284,0.75561,0.81537,0.62298,0.94424,0.89476,1.24901,0.000636762,0.000636762,0.000636762
30,2402.83,0.78707,0.80608,1.26391,0.84349,0.76189,0.84146,0.65349,0.91946,0.82965,1.24985,0.000608468,0.000608468,0.000608468
31,2484.55,0.76901,0.78358,1.24758,0.8643,0.76727,0.84271,0.6346,0.92287,0.86759,1.23856,0.000580174,0.000580174,0.000580174
32,2566.06,0.77068,0.7808,1.25174,0.82665,0.78641,0.83788,0.64408,0.94418,0.85115,1.27471,0.00055188,0.00055188,0.00055188
33,2650.66,0.76641,0.76034,1.24188,0.85719,0.74663,0.82747,0.62795,0.92348,0.84121,1.24278,0.000523586,0.000523586,0.000523586
34,2731.85,0.77404,0.771,1.24784,0.87762,0.76295,0.83138,0.64366,0.9334,0.88464,1.25697,0.000495291,0.000495291,0.000495291
35,2811.93,0.75626,0.74945,1.23358,0.84147,0.76097,0.83711,0.64523,0.92776,0.85151,1.24063,0.000466997,0.000466997,0.000466997
36,2893.08,0.75376,0.74523,1.23517,0.82247,0.77158,0.83015,0.63803,0.92278,0.85686,1.2509,0.000438703,0.000438703,0.000438703
37,2973.92,0.74363,0.72506,1.22839,0.80731,0.80015,0.84377,0.64614,0.90863,0.80075,1.22638,0.000410409,0.000410409,0.000410409
38,3054.88,0.7404,0.72473,1.2314,0.8247,0.76975,0.8456,0.651,0.91863,0.78758,1.24022,0.000382115,0.000382115,0.000382115
39,3135.93,0.73262,0.70211,1.21623,0.85039,0.80549,0.8539,0.65645,0.90139,0.76954,1.2223,0.00035382,0.00035382,0.00035382
40,3217.18,0.72882,0.69155,1.21074,0.89721,0.77691,0.84913,0.6568,0.90474,0.79311,1.22052,0.000325526,0.000325526,0.000325526
41,3297.37,0.73153,0.68336,1.24304,0.88597,0.74835,0.84089,0.64703,0.90011,0.84945,1.21974,0.000297232,0.000297232,0.000297232
42,3373.73,0.70924,0.63984,1.22095,0.85907,0.77948,0.84641,0.65869,0.90419,0.78969,1.22252,0.000268938,0.000268938,0.000268938
43,3448.13,0.70368,0.62168,1.21167,0.86712,0.80472,0.85961,0.66669,0.89064,0.75115,1.21549,0.000240644,0.000240644,0.000240644
44,3524.09,0.69238,0.60946,1.20058,0.82367,0.79139,0.83851,0.65492,0.88497,0.78964,1.21267,0.000212349,0.000212349,0.000212349
45,3600.56,0.68805,0.5998,1.19418,0.84006,0.80211,0.84884,0.65825,0.88911,0.77215,1.21933,0.000184055,0.000184055,0.000184055
46,3674.9,0.66947,0.58269,1.18852,0.81231,0.80015,0.84936,0.65943,0.89264,0.77309,1.22008,0.000155761,0.000155761,0.000155761
47,3751.09,0.665,0.56664,1.17849,0.85926,0.82378,0.85724,0.67355,0.88648,0.75737,1.21057,0.000127467,0.000127467,0.000127467
48,3825.38,0.65699,0.56478,1.1775,0.84464,0.80316,0.85525,0.66724,0.88482,0.78106,1.21506,9.91726e-05,9.91726e-05,9.91726e-05
49,3898.35,0.64807,0.55913,1.17493,0.86271,0.80982,0.86082,0.67591,0.88215,0.77151,1.21622,7.08784e-05,7.08784e-05,7.08784e-05
50,3973.84,0.6495,0.54718,1.16834,0.88906,0.7851,0.85559,0.67145,0.88148,0.76987,1.2107,4.25842e-05,4.25842e-05,4.25842e-05
